Study_Mode,Location,Duration:,Location:,Course,Description,Duration,Melbourne_International_Start_Date,Website,CRICOS,Domestic_Course,Available to:,North_Sydney_International_Start_Date,Brisbane_International_Start_Date,Available to,CRICOS:
Campus availability,North Sydney  Online,6 months full-time or equivalent part-time.,"


Melbourne  


North Sydney  


Online  



",Graduate Certificate in Business Administration,"The Graduate Certificate in Business Administration lays the foundation for a generalist management qualification in the Master of Business Administration. The Graduate Certificate provides you with the introduction to the important management disciplines of finance, communications, marketing and business organisation. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Business Administration articulates into the Master of Business Administration. This is a six-month full-time (or part-time equivalent) course.",6 months full-time or equivalent part-time.," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",https://courses.acu.edu.au/postgraduate/graduate_certificate_in_business_administration,102812D,"['\n', <strong>Average first year fee</strong>, ':\n    $14000 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",Domestic and International students.,048590K
Campus availability,Melbourne  North Sydney  Online,6 months full-time or equivalent part-time.,"


North Sydney  


Online  



",Graduate Certificate in Business Analytics,The Graduate Certificate in Business Analytics provides an introduction to the techniques and methods needed to visualise large volumes of different types of data that have become essential for today’s businesses. The analysis and meaningful presentation of diverse data to support corporate decision-making processes is a challenging task. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Business Analytics articulates into the Master of Information Technology. This is a six-month full-time (or part-time equivalent) course.,6 months full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_business_analytics,048590K,"['\n', <strong>Average first year fee</strong>, ':\n    $14000 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858",Domestic and International students.,102813C
Campus availability,North Sydney  Online,1 year part-time,"


Melbourne  


Online  



",Graduate Certificate in Catholic Studies,"This course is for graduate teachers who need accreditation to teach religious education in Catholic schools. The Graduate Certificate in Catholic Studies specifically meets the religious education requirements set out in the CECV (Catholic Education Commission Victoria) Accreditation Policy. On completing the course, students will:",6 months full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_catholic_studies,102813C,"['\n', <strong>Average first year fee</strong>, ':\n    $9064 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858",Domestic and International students.,
Campus availability,Melbourne  Online,1 year part-time.,"


Online  



",Graduate Certificate in Clinical Nursing,"The Graduate Certificate in Clinical Nursing is designed to expand students’ knowledge and skills in clinical nursing whilst ensuring relevance to clinical practice. Students may choose one clinical specialisation - from 22 available - in which they will develop their skills in providing holistic care, including person and family-centred health promotion, in specialty practice (please see the ‘More Course Information’ section below for details). Specific knowledge in the areas of bioscience, pharmacology and lifespan development, relevant to the chosen specialty will also be explored in the context of application to clinical nursing practice.",1 year part-time,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_clinical_nursing,102813C,"['\n', <strong>Average first year fee</strong>, ':\n    $9744 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and Overseas applicants.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858",Domestic students only.,
Campus availability,Online,6 months full-time or equivalent part-time.,"


North Sydney  


Online  



",Graduate Certificate in Cyber Security,The Graduate Certificate in Cyber Security covers the theoretical foundations and concepts needed to understand the security issues in a networked environment. The Graduate Certificate provides you with a good understanding of network security issues and the importance of data stewardship. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Cyber Security articulates into the Master of Information Technology. This is a six-month full-time (or part-time equivalent) course.,1 year part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_cyber_security,102813C,"['\n', <strong>Average first year fee</strong>, ':\n    $14000 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858",Domestic and Overseas applicants.,102814B
Campus availability,North Sydney  Online,6 months full-time or equivalent part-time.,"


North Sydney  


Online  



",Graduate Certificate in Data Science,"The Graduate Certificate in Data Science lays the foundation for developing the knowledge and skills to design, implement and administer large-scale database solutions for organisations, while preserving data privacy and security. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Data Science articulates into the Master of Information Technology. This is a six-month full-time (or part-time equivalent) course.",6 months full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_data_science,102814B,"['\n', <strong>Average first year fee</strong>, ':\n    $14000 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858",Domestic and International students.,102815A
Campus availability,North Sydney  Online,6 months *full-time or equivalent part-time (*named specialisations only available in part-time mode and the duration is 1 yeardepending on chosen specialisation).,"


Online  



",Graduate Certificate in Education,"This course is designed to provide educators and allied professionals (e.g., youth ministers, chaplains, family/parish educators, counsellors, probation officers) working in educational contexts with opportunities to develop advanced knowledge, understanding and expert skills in domains of their professional interests, responsibilities or concerns. The course does not lead to a teaching qualification. The 40 cp course can be taken as a general course comprised of units that are relevant to the graduate’s learning goals or as a specialised course consisting of units that focus on a particular domain (e.g., Mathematics or Safeguarding Children and Young People). A Graduate Certificate in Education, which is nested within the Master of Education, comprises 40 credit points towards a Master of Education should a graduate decide to pursue additional postgraduate studies.  The Graduate Certificate in Education specialisations are: This advanced course will encourage you to demonstrate knowledge and understanding of recent research and/or professional developments related to the program of study.",6 months full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_education,102815A,"['\n', <strong>Average first year fee</strong>, ':\n    $9064 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858",Domestic and International students.,
Campus availability,Online,6 months full-time or equivalent part-time.,"


Melbourne  


Online  



",Graduate Certificate in Educational Leadership,"The Graduate Certificate in Educational Leadership is for educators (including teachers and administrators) who want to become creative, energetic and innovative leaders with influence in education. Participants explore theories of educational leadership, management and administration, and learn to apply them appropriately to their own contexts including Catholic and faith-based educational organisations defined as those organisations affiliated with a religious group or established Church (Buckingham, 2010). The Graduate Certificate in Educational Leadership is your next step to becoming an educational leader.",6 months *full-time or equivalent part-time (*named specialisations only available in part-time mode and the duration is 1 yeardepending on chosen specialisation).,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_educational_leadership,102815A,"['\n', <strong>Average first year fee</strong>, ':\n    $11330 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435848#435902:  
04-Jan-2021
     (pos1#435848
   #435844#435902:  
, 03-Jan-2022
     #435844",Domestic students only.,099129J
Campus availability,Melbourne  Online,<strong>Minimum Duration</strong> Minimum Duration: 1 year part-time,"


Online  



",Graduate Certificate in Exercise Rehabilitation for Sports Injuries,"The Graduate Certificate in Exercise Rehabilitation for Sports Injuries is a one year part-time course that will develop specialised skills in the prevention and rehabilitation of sport related injuries, assist individuals with pre-existing conditions to remain active, or assist individuals to return to sports performance. This graduate certificate provides specialist knowledge and skill of biomechanics, metabolic, physiological-psychosocial aspects of the person to develop programmes and strategies for the enhancement and improved performance of active individuals to prevent potential injury or to support recovery in those who may have activity restrictions due to injury or disease limitations. The course integrates this specialist knowledge and skill to develop safe and effective exercise prescriptions and interventions.",6 months full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_exercise_rehabilitation_for_sports_injuries,099129J,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435848#435902:  04-Jan-2021     (pos1#435848   #435844#435902:  , 03-Jan-2022     #435844",Domestic and International students.,
Campus availability,Online,6 months full-time or equivalent part-time.,"


Melbourne  


North Sydney  


Online  



",Graduate Certificate in Finance,The Graduate Certificate in Finance lays the foundation for a specialist management qualification in the Master of Finance. The Graduate Certificate provides you with the introduction to important finance principles. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Finance articulates into the Master of Finance. This is a six-month full-time (or part-time equivalent) course.,<strong>Minimum Duration</strong> Minimum Duration: 1 year part-time,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_finance,099129J,"['\n', <strong>Average first year fee</strong>, ':\n    $14000 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",Domestic students only.,102425D
