Available to,CRICOS:,Availability,Duration_Time,North_Sydney_International_Start_Date,University,Currency_Time,CRICOS,Description,Int_Fees,Course,Course_Lang,Melbourne_International_Start_Date,Currency,Website,Study_Mode,Full_Time,Part_Time,Brisbane_International_Start_Date,Available to:,Location,Career_path,Domestic_Course_Price,Location:,Duration,Local_Fees
Domestic and International students.,079451J,,Years,null,Australian Catholic University,Years,079454F,"Public health is the science and art of preventing disease, prolonging life and promoting health by improving social and political systems. It includes environmental, economic, technical, educational and legislative measures. The Bachelor of Applied Public Health will give you the skills to improve population health, whether it’s to a handful of people or across several continents. You will learn how to: Graduates can enter a wide range of public health careers, such as: within a variety of organisations such as: The Bachelor of Applied Public Health will give you up to 300 hours of valuable professional placements, concentrated in the third year of the course. Some placements will be available during summer recess, and there are opportunities for interstate or international experience.",24336.00,Bachelor of Applied Public Health,English,null,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_applied_public_health,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Brisbane  Melbourne  North Sydney,"Graduates can work in roles including public health officer, community development worker, epidemiologist, policy analyst, program evaluator, health educator, project officer and consumer advocate. Such roles exist in both the public and private sectors including state and federal health departments, population health units, community health centres, and divisions of general practice, local government, non-governmental health organisations (NGOs), advocacy groups and international health agencies.","Average first year fee:
    $8455 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  



",3.0,
Domestic and International students.,001300B,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,079451J,"The Bachelor of Arts is designed to produce knowledgeable, articulate and innovative graduates recognised by their skills to think systematically and critically, gather and evaluate evidence from many and diverse sources, communicate clearly, and apply ethical principles to decision-making for a variety of professions and industries. The degree can also be taken as a pathway for students who wish to consider future study in teaching in secondary education. Students who successfully complete the first year of this degree may be eligible to apply for transfer into their chosen degree. Students who complete this course can progress to a postgraduate initial teacher education qualification. The three-year program offers specialisations and the choice of more than 20 majors and minors in the humanities, social sciences and visual arts to encourage students to design their own academic program to reflect their intellectual interests and career aspirations. An accelerated option is available for this course. By studying some units in summer and winter professional terms this course gives you the flexibility to accelerate and complete your degree in 2.5 years.",24104.00,Bachelor of Arts,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_arts,Major and Minor sequences by campus,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Melbourne,Employment options for graduates are diverse and can depend on the choice of majors or specialisations. Employers may include government and non-government organisations; media and communications; arts and  cultural organisations; higher education; business sector; not-for-profit  organisations. Roles may include historian; social scientist; political analyst.,"Average first year fee:
    $10593 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Blacktown  


Brisbane  


Melbourne  


Strathfield  



",3.0,
Domestic and International students.,,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,001300B,"The Bachelor of Arts (Western Civilisation) provides students with a rigorous and stimulating intellectual program in which they engage with western philosophy, history, literature, politics, art and culture, and develop a deep understanding of the great works, ideas and movements within the western intellectual tradition in the core of the program. Students also take a major in one of Drama, English, History, Philosophy, Politics and International Relations, Psychology, Sociology, Theological Studies, or Visual Arts. The degree fosters skills that prepare students for leadership roles in the private and public sectors including government, business, social enterprise and the Arts. Offers will be made to applicants based on high ATAR results and will also be assessed against other criteria, namely “Ramsay Attributes” (i.e. potential to make a positive contribution in Australia and the world as demonstrated through resume, references and a personal statement). ACU is offering 30 scholarships to students undertaking this degree, funded by the Ramsay Centre, each valued at up to $90,000 ($30,000 per year of the degree). Students eligible for scholarship will be selected by a committee, comprising senior ACU and Ramsay Centre staff. Applicants who wish to be considered for a scholarship, will need to meet the essential requirements for admission to the BAWC: The Applicant Resume Form and essay response should be uploaded as a part of the application to study. Scholarship applicants will also:",24104.00,Bachelor of Arts (Western Civilisation),English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_arts_western_civilisation,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic students only.,Blacktown  Brisbane  Melbourne  Strathfield,"Graduates of the Bachelor of Arts (Western Civilisation) program will be recognised by their skills to think systematically and critically; gather and evaluate evidence from many and diverse sources; communicate clearly; and apply ethical principles to decision making for a variety of professions and industries. Possible employment options for graduates are diverse and can depend on the choice of majors or specialisations. Bachelor of Arts (Western Civilisation) graduates are also well-placed to continue their studies in Arts Honours programs or in a range of postgraduate disciplines through their demonstrable research, analytical and communications skills gained from this undergraduate program.","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


North Sydney  



",3.0,
Domestic students only.,084789G,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,001300B,"The Bachelor of Biomedical Science is a professional degree in a discipline at the forefront of research into human health, disease and drug development. Bachelor of Biomedical Science graduates need to demonstrate a well-developed understanding of the biomedical science sub-disciplines to enable them to undertake values driven problem solving. Application of their knowledge, understanding and skills to local and global issues must attend to both First Peoples and Western perspectives, and these aspects are embedded within specified biomedical science units in all years. Employers are seeking students with recognised transferable skills (e.g. team work, communication skills, problem-solving ability, and care for others) and the Biomedical Science degree at ACU integrates development of these skills into its units, driving the development of graduates with a high emotional intelligence, adaptability and resilience. Overall, the Bachelor of Biomedical Science aims to prepare ethical graduates with a concern for the common good, who are able to apply a broad and coherent body of knowledge to undertake professional work in a range of biomedical science contexts and as a basis for life-long learning. These graduates will often collaborate within health care teams to create novel solutions to global and national health challenges. Students undertake specified units in years 1 and 2 of the degree, year 3 of the program provides some flexibility in terms of industry based placements and elective units.",24336.00,Bachelor of Biomedical Science,English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_biomedical_science,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,North Sydney,"Examples include entry level roles in pharmaceutical and medical technology industries; with further workplace training and experience this degree may lead to roles in marketing, medical, legal, research and quality assurance. Graduates might work in research roles in Universities, hospitals or the public health sector. Graduates could pursue careers in science communication, or may undertake further study in post graduate health programs or research.","Average first year fee:
    $9520 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",3.0,
Domestic and International students.,073336E,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,084789G,"Choose our Bachelor of Business Administration and you’ll learn what it takes to lead, innovate and problem-solve in fast-changing business environments. Gain a broad understanding of the fundamentals of business by starting off with four key foundation units (managing money, people, markets and working with IT) whilst honing your communication skills so vital in today’s global environment. As a ‘generalist’ degree, you will be free to choose any business subject we offer rather than specialise. You’ll have the language set and decision-making skills needed to excel in a range of business areas, including marketing, strategy, community engagement, organisational management, technology, finance, human resources, sustainability, and business operations. Study business administration and prepare for a rewarding future in commerce, government or the not-for-profit sector, or add business administration as a double degree to compliment your career path in areas such as law, nutrition, nursing and global studies.",29080.00,Bachelor of Business Administration,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_business_administration,Campus availability,,,"22-Feb-2021, 26-Jul-2021 , 21-Feb-2022 , 18-Jul-2022 ",Domestic and International students.,Brisbane  Melbourne  North Sydney,Accounting Administration Banking Business analysis / development Business management Communications Computing Financial management Human resource management International business International marketing Management consultancy Marketing Recruitment and staff development Sales,"Average first year fee:
    $10389 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Blacktown  


Brisbane  


Melbourne  


North Sydney  


Strathfield  



",3.0,
Domestic and International students.,068238E,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,073336E,"Create your own unique career path whilst honing your communication skills as part of your commerce specialisations. We start with four key foundation units (managing money, people, markets and working with IT) which prepare you for whatever area of business you wish to pursue. Study commerce and you can tailor your degree to open up career opportunities in accounting and finance to marketing, event management, informatics and human resources. Other specialisations include data analytics, entrepreneurship, IT, Indigenous business studies, international business, informatics, and occupational health, safety and environment. Boost your credentials Our commerce specialisations come with a range of relevant credentials, such as the prestigious EPAS international accreditation from the European Foundation for Management Development. If you graduate with an accounting major and minor, you’ll be eligible for membership with CPA Australia, Chartered Accountants Australia and New Zealand, and the Institute of Public Accountants. Choose human resource management and you can become a member of the Australian Human Resources Institute. Marketing graduates, meanwhile, can join the Australian Marketing Institute.",29080.00,Bachelor of Commerce,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_commerce,Campus availability,,,"22-Feb-2021, 26-Jul-2021 , 21-Feb-2022 , 18-Jul-2022 ",Domestic and International students.,Blacktown  Brisbane  Melbourne  North Sydney  Strathfield,Accounting firms Advertising Business management Business regulation Data analytics Employment relations Event management Financial management Human resource management International trade and investment Marketing management Marketing research Personal investment Policy administration Retailing and wholesaling,"Average first year fee:
    $9981 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Blacktown  


Brisbane  


Melbourne  


North Sydney  


Strathfield  



",3.0,
Domestic and International students.,084346A,,Years,null,Australian Catholic University,Years,068238E,"The Bachelor of Creative Arts prepares students to fill key creative roles in industries such as the performing arts, communication, music, and new media, drama, visual arts and related fields of education. Students complete major studies in drama, english, media (Melb), music, or the visual arts and may choose a minor study in communication, creative writing, or in graphic design (Melb only). The Arts Advantage and Community Engagement units are also completed. Students are encouraged to actively engage with the community through the creative arts so that they enter the workforce with documented experience and evidence of their creative capabilities and achievements.",24104.00,Bachelor of Creative Arts,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_creative_arts,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Blacktown  Brisbane  Melbourne  North Sydney  Strathfield,"Arts administration, communications, public relations, film and multi-media, community arts worker, community organisations, creative director and teaching (with further study).","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  



",3.0,
Domestic and International students.,083213M,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,084346A,"The Bachelor of Early Childhood Education (Birth to Five Years) is aimed at those students dedicated to a career teaching in a birth to five setting. Developed in response to workforce needs in the early childhood sector, the course can be undertaken as a natural progression for graduates of the Diploma of Early Childhood Education and Care/Diploma of Children’s Services or as a standalone course. Graduates of the course will have a strong grounding in early childhood curriculum and pedagogy. We also recognise that an early childhood educator is likely to teach a diverse range of students across the course of their career. Our students will be equipped with the knowledge and skills to respond to this diversity. Units cover a range of issues including: This course is ideal for those who see themselves as future leaders in the field. Built into the course are a number of units focusing on the individual’s development as a teaching professional including: Upon completion of the Bachelor of Early Childhood Education (Birth to Five Years) students are eligible to seek accreditation as four-year trained early childhood teachers in early childhood settings. See ACECQA approved qualifications.",24104.00,Bachelor of Early Childhood Education (Birth to Five Years),English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_early_childhood_education_birth_to_five_years,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Brisbane  Melbourne,Graduates are eligible for employment in Australia and overseas as Early Childhood Teachers in early childhood settings.,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


Online  


Strathfield  



",3.0,
Domestic and International students.,063890F,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,083213M,"Our teaching courses give you the tools to be that teacher that students remember and, just as importantly, mentor and lead the next generation. You’ll get to teach in schools and educational settings at different stages of your course ensuring your practical experience evolves alongside your theoretical knowledge in Education. Our Bachelor of Education programs are flexible. With a common first year across our courses, you have the choice in your second year of study to either remain in your specialisation or to pick a different one if your teaching passion lies elsewhere. Our courses cover school and educational settings and specialist teacher roles in: The Bachelor of Education also expands the options for double degree programs by enabling Secondary specialisations to be paired with other degree programs such as: All our teaching courses allow you to teach in government, independent, and Catholic and other faith-based schools. As an early childhood and primary teacher, you will inspire and help children develop critical lifelong skills. Qualified to teach from birth to Year 6, you’ll engage them through key curriculum areas such as the Arts, English, maths and science and technologies. You will also gain the practical skills to manage social, cultural and developmental diversity. You can even be able to teach a language, (Italian or Spanish). By selecting religious education and/or theology units, you will be eligible to teach in Catholic and other faith-based schools. As part of this course you will undertake a minimum of 100 days of professional experience in both prior to school and primary school settings.",24104.00,Bachelor of Education (Early Childhood and Primary),English,"22-Feb-2021, 21-Feb-2022 ",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_education_early_childhood_and_primary,Campus availability,,,"22-Feb-2021, 21-Feb-2022 ",Domestic and International students.,Brisbane  Melbourne  Online  Strathfield,"Graduates are eligible for registration as a primary school teacher in government, independent and Catholic schools, and as an early childhood teacher in the prior to school sector.",Average first year fee:    $6680 Commonwealth Supported     (indicative only; subject to passage of legislation),"


Ballarat  


Blacktown  


Brisbane  


Canberra  


Melbourne  


North Sydney  


Strathfield  



",3.0,
Domestic and International students.,0102075,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,063890F,"As a primary and secondary teacher, you will be able to inspire, nurture and develop expertise in young people. Qualified to teach across the schooling year levels from foundation year to Year 12, this course gives you the flexibility of multiple career options. You will develop knowledge and skills in primary curriculum areas including English, mathematics, the Arts, , health and physical education and social science and technologies. For your secondary teaching discipline, you have the option to choose from a broader range of teaching areas. By selecting Religious Education units and/or a Theology sequence, you will be eligible to teach in Catholic and other faith-based schools.. As part of this course you will undertake a minimum of 80 days of professional experience in primary and secondary school settings Entry to this course is governed by the Admission to Coursework Programs Policy. The selection of course entrants is based on academic merit and satisfaction of non-academic capabilities for entry to initial teacher education. In accordance with the mission of ACU, the Faculty of Education and Arts is committed to providing access to education for a diversity of students. For applicants who are not Year 12 students, the assessment may include year 12 or other studies undertaken to allocate an equivalent ranking. Additionally, ACU provides a range of access and equity schemes which consider additional or alternative factors in assessing applicants, including applicants of Aboriginal or Torres Strait Islander descent. ACU also offers approved, alternative entry pathway programs for domestic and international students.",24104.00,Bachelor of Education (Primary and Secondary),English,22-Feb-2021,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_education_primary_and_secondary,Campus availability,,,"22-Feb-2021, 26-Jul-2021",Domestic and International students.,Ballarat  Blacktown  Brisbane  Canberra  Melbourne  North Sydney  Strathfield,The course is designed for those intending to become teachers in primary or secondary schools throughout Australia.,"Average first year fee:
    $7239 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Canberra  


Melbourne  


Strathfield  



",3.0,
