Int_Description,Study_Type,Int_Fees,Study_Mode,Currency,Prerequisite_1,Website,Level_Code,Offline,Mode_of_Study,Duration,Full_Time,Faculty,Local_Fees,University,Description,Availability,Duration_Time,Course_Lang,Country,Online,Course,Part_Time,Currency_Time,Prequisite_1_grade,Career_Outcomes,City,Course_Level
The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Online,25736.00,2,AUD,"A master degree in education (or equivalent), with a credit average or higher",https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,Yes,Full Time / Part Time,3.0,Yes,Education,,Australian Catholic University,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Ballarat,Doctor
The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Online,25736.00,2,AUD,"A master degree in education (or equivalent), with a credit average or higher",https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,Yes,Full Time / Part Time,3.0,Yes,Education,,Australian Catholic University,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Brisbane,Doctor
The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Online,25736.00,2,AUD,"A master degree in education (or equivalent), with a credit average or higher",https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,Yes,Full Time / Part Time,3.0,Yes,Education,,Australian Catholic University,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Canberra,Doctor
The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Online,25736.00,2,AUD,"A master degree in education (or equivalent), with a credit average or higher",https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,Yes,Full Time / Part Time,3.0,Yes,Education,,Australian Catholic University,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Melbourne,Doctor
The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Online,25736.00,2,AUD,"A master degree in education (or equivalent), with a credit average or higher",https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,Yes,Full Time / Part Time,3.0,Yes,Education,,Australian Catholic University,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,New South Wales,Doctor
The degree of Doctor of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis which demonstrates that the candidate has made a substantial contribution to learning and appreciates and understands the relationship of the candidate’s own investigations to a wider field of knowledge.,Online,25736.00,2,AUD,"A master degree in education (or equivalent), with a credit average or higher",https://courses.acu.edu.au/research/doctor_of_philosophy,DPG,Yes,Full Time / Part Time,3.0,Yes,Education,,Australian Catholic University,"The Doctor of Philosophy (PhD) is awarded for high-level research and, as such, it is expected that candidates will make a contribution to knowledge in their chosen field. A PhD may be undertaken by three different means: Further detailed information regarding requirements for the submission of a PhD may be located in the Guidelines on the Preparation and Presentation of a Higher Degree Research Thesis for Examination.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,North Sydney,Doctor
"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Online,25736.00,2,AUD,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,https://courses.acu.edu.au/research/master_of_philosophy,DPG,Yes,Full Time / Part Time,2.0,Yes,Education,,Australian Catholic University,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Ballarat,Doctor
"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Online,25736.00,2,AUD,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,https://courses.acu.edu.au/research/master_of_philosophy,DPG,Yes,Full Time / Part Time,2.0,Yes,Education,,Australian Catholic University,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Brisbane,Doctor
"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Online,25736.00,2,AUD,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,https://courses.acu.edu.au/research/master_of_philosophy,DPG,Yes,Full Time / Part Time,2.0,Yes,Education,,Australian Catholic University,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Canberra,Doctor
"The degree of Master of Philosophy is available in all Faculties of the University and is awarded without classification on the basis of examination of a major thesis. The requirements for the degree shall be completed by submission of a thesis, which demonstrates the ability of a candidate to conduct a research program, a command of the knowledge and skills pertinent to the area of investigation, and a critical appreciation and understanding of the relationship of the candidates work to the work of others within the subject area according to the literature.",Online,25736.00,2,AUD,an appropriate undergraduate degree with Honours at a minimum level of Second Class Division A (Distinction average) or equivalent,https://courses.acu.edu.au/research/master_of_philosophy,DPG,Yes,Full Time / Part Time,2.0,Yes,Education,,Australian Catholic University,"The Master of Philosophy (MPhil) is a two year full-time (or part-time equivalent) research degree in a field covered by the University, including theology and philosophy, nursing and midwifery, education, business or arts and sciences. It is assessed on the basis of a written thesis which is submitted at the conclusion of the degree.",A,Years,English,Australia,Yes,Doctor of Education (EdD),Yes,Year,,Graduates may work in management positions in public and private educational agencies and associations or in leadership roles in a range of educational settings.,Melbourne,Doctor
